Reference,Date,Debit,Credit,Description,Balance
REF-20240328-504345,28/03/2024,,46.24,PAYMENT SETTLEMENT TXN20240327014126,5072793.56
REF-20240403-332762,03/04/2024,,33.47,CARD SETTLEMENT NET TXN20240331048942,5072827.03
REF-20240402-956784,02/04/2024,,66.07,PAYMENT SETTLEMENT TXN20240328004945,5072893.10
REF-20240404-956803,04/04/2024,,57.37,SETTLEMENT BATCH 0404,5072950.47
REF-20240311-224463,11/03/2024,,47.37,PAYMENT SETTLEMENT TXN20240308041358,5072997.84
REF-20240314-878329,14/03/2024,,73.58,PAYMENT SETTLEMENT TXN20240313015248,5073071.42
REF-20240311-525643,11/03/2024,,56.68,PAYMENT SETTLEMENT TXN20240308035090,5073128.10
REF-20240307-814301,07/03/2024,,267.11,MERCHANT CREDIT CUST5650,5073395.21
REF-20240319-135643,19/03/2024,,100.67,PAYMENT SETTLEMENT TXN20240318042865,5073495.88
REF-20240305-797627,05/03/2024,,88.20,CARD SETTLEMENT NET TXN20240304009774,5073584.08
REF-20240403-301917,03/04/2024,,93.32,PAYMENT SETTLEMENT TXN20240331037283,5073677.40
REF-20240403-556991,03/04/2024,,88.87,PAYMENT SETTLEMENT TXN20240331028247,5073766.27
REF-20240327-514021,27/03/2024,,283.91,PAYMENT SETTLEMENT TXN20240326014805,5074050.18
REF-20240307-520542,07/03/2024,302.20,,RETURNED PAYMENT ORIG REF-20240305-465806 RSN AC01 INCORRECT ACCOUNT NUMBER,5073747.98
REF-20240326-640782,26/03/2024,,293.72,PAYMENT SETTLEMENT TXN20240325039694,5074041.70
REF-20240306-825205,06/03/2024,,59.67,PAYMENT SETTLEMENT TXN20240305013848,5074101.37
REF-20240306-192045,06/03/2024,,32.53,PAYMENT SETTLEMENT TXN20240305009192,5074133.90
REF-20240325-699233,25/03/2024,,175.14,PAYMENT SETTLEMENT TXN20240322027044,5074309.04
REF-20240313-328601,13/03/2024,,48.25,PAYMENT SETTLEMENT TXN20240312003897,5074357.29
REF-20240319-842533,19/03/2024,,107.09,PAYMENT SETTLEMENT TXN20240318041947,5074464.38
REF-20240320-489086,20/03/2024,,17.50,SETTLEMENT BATCH 0320,5074481.88
REF-20240321-131858,21/03/2024,,555.63,PAYMENT SETTLEMENT TXN20240320036498,5075037.51
REF-20240305-212798,05/03/2024,,28.93,MERCHANT CREDIT CUST3185,5075066.44
REF-20240321-882493,21/03/2024,461.42,,REFUND PROCESSED 98SK,5074605.02
REF-20240307-825870,07/03/2024,,137.53,PAYMENT SETTLEMENT TXN20240306017090,5074742.55
REF-20240325-962577,25/03/2024,,187.29,PAYMENT SETTLEMENT TXN20240322025171,5074929.84
REF-20240326-815284,26/03/2024,,724.00,PAYMENT SETTLEMENT TXN20240324022842,5075653.84
REF-20240322-870078,22/03/2024,,39.32,PAYMENT SETTLEMENT TXN20240321032742,5075693.16
REF-20240325-131153,25/03/2024,,445.12,PAYMENT SETTLEMENT TXN20240322003954,5076138.28
REF-20240403-743030,03/04/2024,,58.40,PAYMENT SETTLEMENT TXN20240330040338,5076196.68
REF-20240308-357716,08/03/2024,,353.54,PAYMENT SETTLEMENT TXN20240307018672,5076550.22
REF-20240321-849444,21/03/2024,85.72,,REVERSAL OF REF-20240319-744529,5076464.50
REF-20240403-409860,03/04/2024,,264.07,PAYMENT SETTLEMENT TXN20240330016117,5076728.57
REF-20240322-264728,22/03/2024,,27.50,PAYMENT SETTLEMENT TXN20240321020300,5076756.07
REF-20240314-883316,14/03/2024,56.13,,RETURNED PAYMENT ORIG REF-20240312-253431 RSN BE01 NAME MISMATCH,5076699.94
REF-20240305-509350,05/03/2024,,137.76,PAYMENT SETTLEMENT TXN20240302040561,5076837.70
REF-20240312-782697,12/03/2024,,325.20,PAYMENT SETTLEMENT TXN20240311046306,5077162.90
REF-20240328-164093,28/03/2024,,44.93,CARD SETTLEMENT NET TXN20240327005179,5077207.83
REF-20240306-297739,06/03/2024,,200.26,PAYMENT SETTLEMENT TXN20240305021571,5077408.09
REF-20240311-577439,11/03/2024,,9.71,PAYMENT SETTLEMENT TXN20240308026139,5077417.80
REF-20240319-211004,19/03/2024,,97.02,PAYMENT SETTLEMENT TXN20240318025118,5077514.82
REF-20240322-171594,22/03/2024,,96.52,CARD SETTLEMENT NET TXN20240321011795,5077611.34
REF-20240305-470859,05/03/2024,,60.15,PAYMENT SETTLEMENT TXN20240303025122,5077671.49
REF-20240312-418266,12/03/2024,,197.49,CARD SETTLEMENT NET TXN20240310048618,5077868.98
REF-20240320-168156,20/03/2024,647.20,,REVERSAL OF REF-20240315-479460,5077221.78
REF-20240315-390318,15/03/2024,,25.29,PAYMENT SETTLEMENT TXN20240314017742,5077247.07
REF-20240315-687231,15/03/2024,,368.06,CARD SETTLEMENT NET TXN20240314039067,5077615.13
REF-20240315-125339,15/03/2024,,146.35,PAYMENT SETTLEMENT TXN20240314040359,5077761.48
REF-20240308-876341,08/03/2024,,30.54,PAYMENT SETTLEMENT TXN20240307046030,5077792.02
REF-20240321-603687,21/03/2024,,213.32,PAYMENT SETTLEMENT TXN20240320009548,5078005.34
REF-20240327-776229,27/03/2024,,296.25,PAYMENT SETTLEMENT TXN20240326017002,5078301.59
REF-20240304-530068,04/03/2024,,36.82,PAYMENT SETTLEMENT TXN20240301038343,5078338.41
REF-20240308-983045,08/03/2024,,19.41,PAYMENT SETTLEMENT TXN20240307019519,5078357.82
REF-20240305-605237,05/03/2024,,137.14,PAYMENT SETTLEMENT TXN20240304013740,5078494.96
REF-20240326-630350,26/03/2024,,14.22,CARD SETTLEMENT NET TXN20240325038706,5078509.18
REF-20240308-133208,08/03/2024,,30.19,PAYMENT SETTLEMENT TXN20240307018861,5078539.37
REF-20240312-963725,12/03/2024,,16.80,CARD SETTLEMENT NET TXN20240310024316,5078556.17
REF-20240313-196110,13/03/2024,,43.70,CARD SETTLEMENT NET TXN20240312028581,5078599.87
REF-20240328-138280,28/03/2024,110.20,,RETURNED PAYMENT ORIG REF-20240326-566383 RSN AC01 INCORRECT ACCOUNT NUMBER,5078489.67
REF-20240305-231373,05/03/2024,,69.92,PAYMENT SETTLEMENT TXN20240303030226,5078559.59
REF-20240322-899517,22/03/2024,,272.72,PAYMENT SETTLEMENT TXN20240321048694,5078832.31
REF-20240402-600126,02/04/2024,,150.59,PAYMENT SETTLEMENT TXN20240328047930,5078982.90
REF-20240308-920248,08/03/2024,,732.17,PAYMENT SETTLEMENT TXN20240307006499,5079715.07
REF-20240326-640225,26/03/2024,,122.85,PAYMENT SETTLEMENT TXN20240325031283,5079837.92
REF-20240315-345233,15/03/2024,,9.78,PAYMENT SETTLEMENT TXN20240314001839,5079847.70
REF-20240326-534191,26/03/2024,,204.50,PAYMENT SETTLEMENT TXN20240323008140,5080052.20
REF-20240312-399610,12/03/2024,,58.64,PAYMENT SETTLEMENT TXN20240309046044,5080110.84
REF-20240318-169114,18/03/2024,,23.17,MERCHANT CREDIT CUST2873,5080134.01
REF-20240318-756030,18/03/2024,,26.38,PAYMENT SETTLEMENT TXN20240315026803,5080160.39
REF-20240319-686432,19/03/2024,,40.15,PAYMENT SETTLEMENT TXN20240318035254,5080200.54
REF-20240312-908351,12/03/2024,,34.04,PAYMENT SETTLEMENT TXN20240310021297,5080234.58
REF-20240403-461554,03/04/2024,,70.81,PAYMENT SETTLEMENT TXN20240329022925,5080305.39
REF-20240312-665338,12/03/2024,,42.04,PAYMENT SETTLEMENT TXN20240310016981,5080347.43
REF-20240314-848237,14/03/2024,,268.48,PAYMENT SETTLEMENT TXN20240313034172,5080615.91
REF-20240307-401060,07/03/2024,49.50,,RETURNED PAYMENT ORIG REF-20240304-242019 RSN AC01 INCORRECT ACCOUNT NUMBER,5080566.41
REF-20240318-964219,18/03/2024,,29.14,PAYMENT SETTLEMENT TXN20240315016315,5080595.55
REF-20240305-424575,05/03/2024,,29.56,CARD SETTLEMENT NET TXN20240303016811,5080625.11
REF-20240307-605863,07/03/2024,17.71,,RETURNED PAYMENT ORIG REF-20240305-254256 RSN AM05 DUPLICATION,5080607.40
REF-20240312-534596,12/03/2024,,180.39,PAYMENT SETTLEMENT TXN20240310047395,5080787.79
REF-20240307-621346,07/03/2024,,15.88,PAYMENT SETTLEMENT TXN20240306010087,5080803.67
REF-20240402-105361,02/04/2024,,38.69,PAYMENT SETTLEMENT TXN20240328003935,5080842.36
REF-20240305-732091,05/03/2024,,36.50,CARD SETTLEMENT NET TXN20240303025737,5080878.86
REF-20240319-618101,19/03/2024,,78.11,PAYMENT SETTLEMENT TXN20240317042581,5080956.97
REF-20240327-132898,27/03/2024,,191.06,PAYMENT SETTLEMENT TXN20240326041538,5081148.03
REF-20240327-439325,27/03/2024,,110.58,PAYMENT SETTLEMENT TXN20240326027840,5081258.61
REF-20240312-581884,12/03/2024,,10.81,PAYMENT SETTLEMENT TXN20240310018789,5081269.42
REF-20240307-606953,07/03/2024,,55.83,CARD SETTLEMENT NET TXN20240306027823,5081325.25
REF-20240311-566477,11/03/2024,,74.47,MERCHANT CREDIT CUST1722,5081399.72
REF-20240305-858075,05/03/2024,,89.26,CARD SETTLEMENT NET TXN20240303048761,5081488.98
REF-20240312-204294,12/03/2024,,19.15,MERCHANT CREDIT CUST3240,5081508.13
REF-20240306-727352,06/03/2024,,88.82,MERCHANT CREDIT CUST7945,5081596.95
REF-20240305-649628,05/03/2024,,27.71,PAYMENT SETTLEMENT TXN20240304044500,5081624.66
REF-20240403-320087,03/04/2024,,170.23,MERCHANT CREDIT CUST7041,5081794.89
REF-20240308-678358,08/03/2024,,56.22,PAYMENT SETTLEMENT TXN20240307021851,5081851.11
REF-20240308-139189,08/03/2024,,44.04,PAYMENT SETTLEMENT TXN20240307026366,5081895.15
REF-20240327-641085,27/03/2024,,254.76,CARD SETTLEMENT NET TXN20240326038161,5082149.91
REF-20240320-842528,20/03/2024,,115.34,PAYMENT SETTLEMENT TXN20240319008589,5082265.25
REF-20240314-795407,14/03/2024,,36.94,PAYMENT SETTLEMENT TXN20240313049876,5082302.19
REF-20240325-574524,25/03/2024,,83.94,SETTLEMENT BATCH 0325,5082386.13
REF-20240311-905038,11/03/2024,,36.05,PAYMENT SETTLEMENT TXN20240308049128,5082422.18
REF-20240312-660084,12/03/2024,,209.30,PAYMENT SETTLEMENT TXN20240309006749,5082631.48
REF-20240315-221958,15/03/2024,,250.49,PAYMENT SETTLEMENT TXN20240314027841,5082881.97
REF-20240403-584219,03/04/2024,,87.05,PAYMENT SETTLEMENT TXN20240331022418,5082969.02
REF-20240321-485226,21/03/2024,,141.10,CARD SETTLEMENT NET TXN20240320032995,5083110.12
REF-20240305-929467,05/03/2024,,51.77,PAYMENT SETTLEMENT TXN20240303027893,5083161.89
REF-20240312-515210,12/03/2024,,189.76,CARD SETTLEMENT NET TXN20240310014431,5083351.65
REF-20240312-496783,12/03/2024,,189.05,PAYMENT SETTLEMENT TXN20240309034646,5083540.70
REF-20240312-936051,12/03/2024,,213.35,PAYMENT SETTLEMENT TXN20240311044904,5083754.05
REF-20240322-860005,22/03/2024,,152.37,MERCHANT CREDIT CUST6836,5083906.42
REF-20240328-135410,28/03/2024,,73.12,PAYMENT SETTLEMENT TXN20240327036235,5083979.54
REF-20240403-422264,03/04/2024,,166.32,PAYMENT SETTLEMENT TXN20240331031303,5084145.86
REF-20240402-338043,02/04/2024,,48.24,SETTLEMENT BATCH 0402,5084194.10
REF-20240318-863312,18/03/2024,,624.46,CARD SETTLEMENT NET TXN20240315035683,5084818.56
REF-20240319-938574,19/03/2024,,42.40,CARD SETTLEMENT NET TXN20240316023098,5084860.96
REF-20240326-211544,26/03/2024,,251.60,PAYMENT SETTLEMENT TXN20240325030925,5085112.56
REF-20240306-787497,06/03/2024,,238.68,PAYMENT SETTLEMENT TXN20240305018695,5085351.24
REF-20240308-317168,08/03/2024,,52.16,CARD SETTLEMENT NET TXN20240307013353,5085403.40
REF-20240314-603982,14/03/2024,,160.22,PAYMENT SETTLEMENT TXN20240313041214,5085563.62
REF-20240402-490206,02/04/2024,,312.97,CARD SETTLEMENT NET TXN20240328001880,5085876.59
REF-20240319-689221,19/03/2024,,458.62,PAYMENT SETTLEMENT TXN20240317002344,5086335.21
REF-20240307-922865,07/03/2024,,1042.33,PAYMENT SETTLEMENT TXN20240306009779,5087377.54
REF-20240320-352282,20/03/2024,,22.71,PAYMENT SETTLEMENT TXN20240319047727,5087400.25
REF-20240320-746892,20/03/2024,,8.28,PAYMENT SETTLEMENT TXN20240319017815,5087408.53
REF-20240313-886651,13/03/2024,,132.97,SETTLEMENT BATCH 0313,5087541.50
REF-20240307-195079,07/03/2024,,20.92,PAYMENT SETTLEMENT TXN20240306041875,5087562.42
REF-20240403-716066,03/04/2024,,123.71,MERCHANT CREDIT CUST7024,5087686.13
REF-20240328-530538,28/03/2024,,30.32,PAYMENT SETTLEMENT TXN20240327021737,5087716.45
REF-20240307-820201,07/03/2024,,59.14,PAYMENT SETTLEMENT TXN20240306016020,5087775.59
REF-20240319-244425,19/03/2024,,22.75,PAYMENT SETTLEMENT TXN20240318021049,5087798.34
REF-20240318-857642,18/03/2024,,170.24,PAYMENT SETTLEMENT TXN20240315004669,5087968.58
REF-20240306-823424,06/03/2024,,131.90,MERCHANT CREDIT CUST8875,5088100.48
REF-20240403-705729,03/04/2024,,52.35,PAYMENT SETTLEMENT TXN20240331047779,5088152.83
REF-20240326-403013,26/03/2024,,49.47,PAYMENT SETTLEMENT TXN20240325016327,5088202.30
REF-20240402-280700,02/04/2024,,48.23,CARD SETTLEMENT NET TXN20240328030771,5088250.53
REF-20240328-976618,28/03/2024,,37.47,MERCHANT CREDIT CUST7473,5088288.00
REF-20240306-802021,06/03/2024,,210.36,PAYMENT SETTLEMENT TXN20240305046604,5088498.36
REF-20240314-829651,14/03/2024,,108.86,MERCHANT CREDIT CUST4256,5088607.22
REF-20240305-928446,05/03/2024,,33.36,PAYMENT SETTLEMENT TXN20240303024862,5088640.58
REF-20240325-137624,25/03/2024,,404.62,CARD SETTLEMENT NET TXN20240322006322,5089045.20
REF-20240305-924664,05/03/2024,,49.23,PAYMENT SETTLEMENT TXN20240304006349,5089094.43
REF-20240320-414265,20/03/2024,,107.53,PAYMENT SETTLEMENT TXN20240319026896,5089201.96
REF-20240318-364198,18/03/2024,,369.01,SETTLEMENT BATCH 0318,5089570.97
REF-20240305-803219,05/03/2024,,193.73,CARD SETTLEMENT NET TXN20240303029326,5089764.70
REF-20240319-583705,19/03/2024,,238.71,PAYMENT SETTLEMENT TXN20240316033895,5090003.41
REF-20240325-876655,25/03/2024,,143.84,PAYMENT SETTLEMENT TXN20240322003342,5090147.25
REF-20240403-338224,03/04/2024,,1760.46,CARD SETTLEMENT NET TXN20240329047288,5091907.71
REF-20240312-214540,12/03/2024,,76.94,PAYMENT SETTLEMENT TXN20240311016630,5091984.65
REF-20240403-614588,03/04/2024,,26.61,MERCHANT CREDIT CUST6312,5092011.26
REF-20240326-444749,26/03/2024,,36.70,PAYMENT SETTLEMENT TXN20240325031540,5092047.96
REF-20240404-404115,04/04/2024,,56.61,SETTLEMENT BATCH 0404,5092104.57
REF-20240313-260927,13/03/2024,,61.25,CARD SETTLEMENT NET TXN20240312011296,5092165.82
REF-20240327-590470,27/03/2024,,22.59,PAYMENT SETTLEMENT TXN20240326028311,5092188.41
REF-20240319-659367,19/03/2024,,45.66,PAYMENT SETTLEMENT TXN20240316040725,5092234.07
REF-20240313-209284,13/03/2024,,44.11,MERCHANT CREDIT CUST3383,5092278.18
REF-20240312-557891,12/03/2024,,44.60,PAYMENT SETTLEMENT TXN20240309004973,5092322.78
REF-20240318-790059,18/03/2024,,372.89,MERCHANT CREDIT CUST8559,5092695.67
REF-20240320-944485,20/03/2024,,119.74,CARD SETTLEMENT NET TXN20240319022593,5092815.41
REF-20240312-582381,12/03/2024,,239.49,PAYMENT SETTLEMENT TXN20240310007161,5093054.90
REF-20240327-201446,27/03/2024,,18.82,MERCHANT CREDIT CUST2046,5093073.72
REF-20240403-763009,03/04/2024,,51.50,PAYMENT SETTLEMENT TXN20240329012897,5093125.22
REF-20240305-555692,05/03/2024,,181.02,MERCHANT CREDIT CUST2905,5093306.24
REF-20240326-398834,26/03/2024,,99.66,PAYMENT SETTLEMENT TXN20240325026183,5093405.90
REF-20240322-774073,22/03/2024,,28.13,PAYMENT SETTLEMENT TXN20240321029105,5093434.03
REF-20240305-707792,05/03/2024,,56.81,PAYMENT SETTLEMENT TXN20240302033302,5093490.84
REF-20240318-989365,18/03/2024,,31.54,PAYMENT SETTLEMENT TXN20240315038459,5093522.38
REF-20240321-857671,21/03/2024,,34.86,PAYMENT SETTLEMENT TXN20240320029355,5093557.24
REF-20240312-517330,12/03/2024,,117.95,PAYMENT SETTLEMENT TXN20240309003891,5093675.19
REF-20240315-752447,15/03/2024,126.79,,REVERSAL OF REF-20240313-621607,5093548.40
REF-20240319-453969,19/03/2024,,557.40,PAYMENT SETTLEMENT TXN20240316029189,5094105.80
REF-20240326-678823,26/03/2024,,31.27,PAYMENT SETTLEMENT TXN20240325004874,5094137.07
REF-20240403-914262,03/04/2024,,104.86,PAYMENT SETTLEMENT TXN20240330032388,5094241.93
REF-20240325-128785,25/03/2024,,407.61,PAYMENT SETTLEMENT TXN20240322018577,5094649.54
REF-20240319-242153,19/03/2024,,47.88,PAYMENT SETTLEMENT TXN20240318007133,5094697.42
REF-20240404-324088,04/04/2024,,497.60,SETTLEMENT BATCH 0404,5095195.02
REF-20240304-359928,04/03/2024,,55.68,PAYMENT SETTLEMENT TXN20240301024938,5095250.70
REF-20240306-195123,06/03/2024,,18.80,SETTLEMENT BATCH 0306,5095269.50
REF-20240318-747906,18/03/2024,,61.03,PAYMENT SETTLEMENT TXN20240315024730,5095330.53
REF-20240314-228670,14/03/2024,,59.09,PAYMENT SETTLEMENT TXN20240313033259,5095389.62
REF-20240403-774374,03/04/2024,,93.53,PAYMENT SETTLEMENT TXN20240330015623,5095483.15
REF-20240307-131215,07/03/2024,,47.86,PAYMENT SETTLEMENT TXN20240306034099,5095531.01
REF-20240327-352687,27/03/2024,,137.45,MERCHANT CREDIT CUST3863,5095668.46
REF-20240322-907557,22/03/2024,,70.36,PAYMENT SETTLEMENT TXN20240321031815,5095738.82
REF-20240319-870743,19/03/2024,,44.69,PAYMENT SETTLEMENT TXN20240318017474,5095783.51
REF-20240315-777151,15/03/2024,,114.98,PAYMENT SETTLEMENT TXN20240314022278,5095898.49
REF-20240321-573568,21/03/2024,,186.90,CARD SETTLEMENT NET TXN20240320019122,5096085.39
REF-20240318-768051,18/03/2024,,63.57,PAYMENT SETTLEMENT TXN20240315014502,5096148.96
REF-20240326-432591,26/03/2024,,57.46,CARD SETTLEMENT NET TXN20240325012168,5096206.42
REF-20240306-200662,06/03/2024,,274.21,PAYMENT SETTLEMENT TXN20240305034866,5096480.63
REF-20240304-333656,04/03/2024,,143.42,CARD SETTLEMENT NET TXN20240301039588,5096624.05
REF-20240313-982725,13/03/2024,,28.14,SETTLEMENT BATCH 0313,5096652.19
REF-20240320-862494,20/03/2024,,16.92,PAYMENT SETTLEMENT TXN20240319049391,5096669.11
REF-20240318-486055,18/03/2024,,114.77,SETTLEMENT BATCH 0318,5096783.88
REF-20240403-741960,03/04/2024,,61.76,PAYMENT SETTLEMENT TXN20240330037841,5096845.64
REF-20240312-569722,12/03/2024,,251.75,PAYMENT SETTLEMENT TXN20240311045029,5097097.39
REF-20240319-952720,19/03/2024,,87.28,PAYMENT SETTLEMENT TXN20240317013546,5097184.67
REF-20240326-986481,26/03/2024,,45.58,CARD SETTLEMENT NET TXN20240325031314,5097230.25
REF-20240313-726964,13/03/2024,,50.07,PAYMENT SETTLEMENT TXN20240312019138,5097280.32
REF-20240306-352553,06/03/2024,,79.69,SETTLEMENT BATCH 0306,5097360.01
REF-20240326-760669,26/03/2024,,111.33,PAYMENT SETTLEMENT TXN20240323032316,5097471.34
REF-20240326-250734,26/03/2024,,71.07,PAYMENT SETTLEMENT TXN20240324027160,5097542.41
REF-20240402-633989,02/04/2024,,63.58,PAYMENT SETTLEMENT TXN20240328033179,5097605.99
REF-20240321-374810,21/03/2024,,15.08,PAYMENT SETTLEMENT TXN20240320028792,5097621.07
REF-20240403-234201,03/04/2024,,435.46,PAYMENT SETTLEMENT TXN20240330048829,5098056.53
REF-20240312-366339,12/03/2024,,217.83,MERCHANT CREDIT CUST3991,5098274.36
REF-20240312-207782,12/03/2024,,41.04,PAYMENT SETTLEMENT TXN20240311044003,5098315.40
REF-20240318-248706,18/03/2024,,28.65,PAYMENT SETTLEMENT TXN20240315020688,5098344.05
REF-20240312-514747,12/03/2024,,43.02,PAYMENT SETTLEMENT TXN20240311024749,5098387.07
REF-20240304-106463,04/03/2024,,363.67,PAYMENT SETTLEMENT TXN20240301022099,5098750.74
REF-20240311-395156,11/03/2024,,18.18,PAYMENT SETTLEMENT TXN20240308049225,5098768.92
REF-20240322-208033,22/03/2024,,64.34,PAYMENT SETTLEMENT TXN20240321008110,5098833.26
REF-20240314-929646,14/03/2024,448.07,,CHARGEBACK RECEIVED 30DF,5098385.19
REF-20240319-337678,19/03/2024,,44.76,CARD SETTLEMENT NET TXN20240318039137,5098429.95
REF-20240307-577161,07/03/2024,,50.57,PAYMENT SETTLEMENT TXN20240306044890,5098480.52
REF-20240305-814372,05/03/2024,,105.15,PAYMENT SETTLEMENT TXN20240304022066,5098585.67
REF-20240403-457192,03/04/2024,,128.90,PAYMENT SETTLEMENT TXN20240329005799,5098714.57
REF-20240322-295740,22/03/2024,,12.91,PAYMENT SETTLEMENT TXN20240321029279,5098727.48
REF-20240327-990391,27/03/2024,,21.51,MERCHANT CREDIT CUST7925,5098748.99
REF-20240306-764678,06/03/2024,,72.86,PAYMENT SETTLEMENT TXN20240305007095,5098821.85
REF-20240305-314188,05/03/2024,,27.29,PAYMENT SETTLEMENT TXN20240304028585,5098849.14
REF-20240403-467339,03/04/2024,257.15,,RETURNED PAYMENT ORIG REF-20240328-885672 RSN AC04 ACCOUNT CLOSED,5098591.99
REF-20240308-310685,08/03/2024,,134.47,CARD SETTLEMENT NET TXN20240307019716,5098726.46
REF-20240403-595952,03/04/2024,,61.62,PAYMENT SETTLEMENT TXN20240329033893,5098788.08
REF-20240405-971780,05/04/2024,23.77,,REVERSAL OF REF-20240402-367632,5098764.31
REF-20240322-995312,22/03/2024,,177.16,CARD SETTLEMENT NET TXN20240321013829,5098941.47
REF-20240402-143559,02/04/2024,,65.08,PAYMENT SETTLEMENT TXN20240328014170,5099006.55
REF-20240311-150180,11/03/2024,,96.01,PAYMENT SETTLEMENT TXN20240308044436,5099102.56
REF-20240304-671612,04/03/2024,,102.72,PAYMENT SETTLEMENT TXN20240301018423,5099205.28
REF-20240315-786940,15/03/2024,,136.88,MERCHANT CREDIT CUST3568,5099342.16
REF-20240304-638323,04/03/2024,,316.84,PAYMENT SETTLEMENT TXN20240301043519,5099659.00
REF-20240319-494207,19/03/2024,,91.68,CARD SETTLEMENT NET TXN20240317043906,5099750.68
REF-20240325-394938,25/03/2024,,302.17,PAYMENT SETTLEMENT TXN20240322023794,5100052.85
REF-20240305-304990,05/03/2024,,37.78,PAYMENT SETTLEMENT TXN20240302040041,5100090.63
REF-20240322-493522,22/03/2024,,25.10,PAYMENT SETTLEMENT TXN20240321042160,5100115.73
REF-20240307-780834,07/03/2024,,86.25,PAYMENT SETTLEMENT TXN20240306025070,5100201.98
REF-20240321-547919,21/03/2024,,212.37,CARD SETTLEMENT NET TXN20240320040526,5100414.35
REF-20240308-661641,08/03/2024,,70.32,PAYMENT SETTLEMENT TXN20240307002824,5100484.67
REF-20240313-618783,13/03/2024,,19.88,SETTLEMENT BATCH 0313,5100504.55
REF-20240403-216038,03/04/2024,,1690.55,PAYMENT SETTLEMENT TXN20240331033003,5102195.10
REF-20240308-566377,08/03/2024,,214.80,PAYMENT SETTLEMENT TXN20240307010938,5102409.90
REF-20240318-108472,18/03/2024,,115.38,MERCHANT CREDIT CUST8502,5102525.28
REF-20240315-422884,15/03/2024,,316.57,PAYMENT SETTLEMENT TXN20240314003139,5102841.85
REF-20240308-290481,08/03/2024,,24.32,PAYMENT SETTLEMENT TXN20240307030161,5102866.17
REF-20240312-686908,12/03/2024,,157.79,PAYMENT SETTLEMENT TXN20240309031539,5103023.96
REF-20240311-648841,11/03/2024,,77.22,PAYMENT SETTLEMENT TXN20240308044457,5103101.18
REF-20240307-507513,07/03/2024,,102.18,CARD SETTLEMENT NET TXN20240306014699,5103203.36
REF-20240305-379168,05/03/2024,,195.45,CARD SETTLEMENT NET TXN20240302003168,5103398.81
REF-20240326-882687,26/03/2024,,52.02,CARD SETTLEMENT NET TXN20240325024441,5103450.83
REF-20240311-416152,11/03/2024,,203.23,CARD SETTLEMENT NET TXN20240308005862,5103654.06
REF-20240318-841737,18/03/2024,,27.06,PAYMENT SETTLEMENT TXN20240315007571,5103681.12
REF-20240307-980477,07/03/2024,,51.59,CARD SETTLEMENT NET TXN20240306011604,5103732.71
REF-20240403-102992,03/04/2024,,41.47,PAYMENT SETTLEMENT TXN20240331022836,5103774.18
REF-20240320-750443,20/03/2024,,245.23,SETTLEMENT BATCH 0320,5104019.41
REF-20240312-474711,12/03/2024,,23.70,PAYMENT SETTLEMENT TXN20240309027825,5104043.11
REF-20240313-597734,13/03/2024,,135.95,PAYMENT SETTLEMENT TXN20240312039444,5104179.06
REF-20240402-991906,02/04/2024,,46.70,PAYMENT SETTLEMENT TXN20240328046048,5104225.76
REF-20240319-832269,19/03/2024,,373.82,PAYMENT SETTLEMENT TXN20240316029059,5104599.58
REF-20240325-301614,25/03/2024,,96.88,PAYMENT SETTLEMENT TXN20240322000237,5104696.46
REF-20240403-585301,03/04/2024,,240.34,PAYMENT SETTLEMENT TXN20240330048388,5104936.80
REF-20240326-818546,26/03/2024,,32.13,PAYMENT SETTLEMENT TXN20240325028705,5104968.93
REF-20240308-500277,08/03/2024,,74.14,PAYMENT SETTLEMENT TXN20240307039677,5105043.07
REF-20240328-788089,28/03/2024,,109.83,SETTLEMENT BATCH 0328,5105152.90
REF-20240319-257406,19/03/2024,,67.21,PAYMENT SETTLEMENT TXN20240318027577,5105220.11
REF-20240314-937824,14/03/2024,,231.07,MERCHANT CREDIT CUST4245,5105451.18
REF-20240326-776824,26/03/2024,,68.83,PAYMENT SETTLEMENT TXN20240323016657,5105520.01
REF-20240321-660408,21/03/2024,,54.71,PAYMENT SETTLEMENT TXN20240320006186,5105574.72
REF-20240304-876336,04/03/2024,,254.01,PAYMENT SETTLEMENT TXN20240301042633,5105828.73
REF-20240317-945827,17/03/2024,497.41,,REFUND PROCESSED 09ET,5105331.32
REF-20240305-627609,05/03/2024,,25.31,MERCHANT CREDIT CUST5421,5105356.63
REF-20240319-117997,19/03/2024,,35.97,PAYMENT SETTLEMENT TXN20240316044996,5105392.60
REF-20240304-165538,04/03/2024,,30.71,PAYMENT SETTLEMENT TXN20240301037634,5105423.31
REF-20240403-539862,03/04/2024,,37.21,PAYMENT SETTLEMENT TXN20240329022380,5105460.52
REF-20240305-813142,05/03/2024,,122.92,PAYMENT SETTLEMENT TXN20240303007427,5105583.44
REF-20240325-903266,25/03/2024,,106.91,PAYMENT SETTLEMENT TXN20240322023687,5105690.35
REF-20240319-987109,19/03/2024,,240.14,CARD SETTLEMENT NET TXN20240318021293,5105930.49
REF-20240313-202421,13/03/2024,,63.99,PAYMENT SETTLEMENT TXN20240312046734,5105994.48
REF-20240321-631920,21/03/2024,,61.58,PAYMENT SETTLEMENT TXN20240320041330,5106056.06
REF-20240319-996696,19/03/2024,,17.01,PAYMENT SETTLEMENT TXN20240317018512,5106073.07
